Size,Time(Ms),Iterations
4500,1.7831,138051
4500,2.0407,124554
4500,2.324,129053
4500,2.7576,138051
4500,1.9354,133552
4600,2.1854,131910
4600,2.0661,131910
4600,1.9321,127311
4600,1.8036,127311
4600,1.9641,131910
4700,1.8141,148886
4700,2.4243,144187
4700,2.4905,148886
4700,2.4335,153585
4700,2.6792,158284
4800,2.6293,152055
4800,2.735,161653
4800,2.3684,152055
4800,2.6577,147256
4800,2.5937,142457
4900,2.3648,145412
4900,3.2059,140513
4900,2.6246,140513
4900,2.8549,140513
4900,2.1766,135614
5000,2.5126,148381
5000,2.5056,138383
5000,2.5392,148381
5000,2.6238,143382
5000,2.2875,143382
5100,2.9741,156460
5100,2.7205,161559
5100,3.3355,151361
5100,2.3623,151361
5100,3.2702,156460
5200,2.6543,159520
5200,3.4326,149122
5200,2.6309,154321
5200,2.7151,159520
5200,2.9439,149122
5300,7.3519,146685
5300,2.4579,151984
5300,2.7445,146685
5300,2.4716,151984
5300,2.7036,146685
5400,2.4558,154859
5400,2.6108,149460
5400,2.2823,154859
5400,2.7854,149460
5400,2.5605,154859
5500,2.5238,157722
5500,2.9104,157722
5500,2.6454,157722
5500,2.9248,152223
5500,2.5521,157722
5600,1.9022,160593
5600,2.6796,154994
5600,2.4483,160593
5600,2.2612,160593
5600,2.9905,160593
5700,2.9714,169159
5700,2.4757,174858
5700,2.6182,191955
5700,2.6337,169159
5700,2.8504,169159
5800,3.6723,177911
5800,2.858,172112
5800,3.0636,177911
5800,2.6858,172112
5800,2.9612,177911
5900,2.6529,180997
5900,3.1488,186896
5900,4.6118,180997
5900,2.5241,180997
5900,3.5801,180997
6000,3.3506,184051
6000,4.7601,190050
6000,3.2308,178052
6000,4.0401,178052
6000,3.1945,184051
6100,3.7956,199315
6100,2.7028,199315
6100,3.64,199315
6100,2.6785,193216
6100,3.4895,199315
6200,2.2145,196386
6200,2.5546,202585
6200,2.5668,202585
6200,1.5874,202585
6200,2.2865,196386
6300,2.8802,199559
6300,2.4013,193260
6300,1.9467,193260
6300,2.3607,186961
6300,1.5796,186961
6400,1.8894,189919
6400,2.8149,189919
6400,3.0673,196318
6400,3.3127,189919
6400,2.9974,189919
6500,3.7843,199381
6500,3.0512,199381
6500,3.2603,212379
6500,3.4524,199381
6500,2.544,199381
6600,2.1935,209061
6600,2.6599,202462
6600,1.6865,202462
6600,1.7047,202462
6600,3.0441,209061
6700,1.8885,205524
6700,2.6838,205524
6700,3.2108,198825
6700,3.3032,205524
6700,3.2121,205524
6800,3.644,222193
6800,3.5031,201796
6800,3.8192,208595
6800,3.8139,208595
6800,3.8572,208595
6900,3.9297,204752
6900,6.5367,197853
6900,3.4188,204752
6900,4.2337,204752
6900,3.4439,211651
7000,3.5121,214721
7000,3.4295,221720
7000,3.8718,200723
7000,3.1867,214721
7000,3.8859,207722
7100,3.5211,217793
7100,4.1054,217793
